year,pred64,pred85,pred105,pred125,temperature
1977,0.053031496,0.053031496,0.053031496,0.053031496,0.1978
1978,0.055551181,0.055551181,0.055551181,0.055551181,0.1123
1979,0.053622047,0.053622047,0.053622047,0.053622047,0.2273
1980,0.055984252,0.055984252,0.055984252,0.055984252,0.2637
1981,0.060866142,0.060866142,0.060866142,0.060866142,0.2999
1982,0.058582677,0.058582677,0.058582677,0.058582677,0.1815
1983,0.061889764,0.061889764,0.061889764,0.061889764,0.3411
1984,0.061535433,0.061535433,0.061535433,0.061535433,0.149
1985,0.057480315,0.057480315,0.057480315,0.057480315,0.1342
1986,0.057716535,0.057716535,0.057716535,0.057716535,0.2296
1987,0.057952756,0.057952756,0.057952756,0.057952756,0.3696
1988,0.05980315,0.05980315,0.05980315,0.05980315,0.3757
1989,0.061574803,0.061574803,0.061574803,0.061574803,0.297
1990,0.062322835,0.062322835,0.062322835,0.062322835,0.4328
1991,0.063346457,0.063346457,0.063346457,0.063346457,0.4055
1992,0.063582677,0.063582677,0.063582677,0.063582677,0.2571
1993,0.062913386,0.062913386,0.062913386,0.062913386,0.2853
1994,0.065,0.065,0.065,0.065,0.3409
1995,0.066181102,0.066181102,0.066181102,0.066181102,0.4577
1996,0.067874016,0.067874016,0.067874016,0.067874016,0.3228
1997,0.070669291,0.070669291,0.070669291,0.070669291,0.5187
1998,0.066653543,0.066653543,0.066653543,0.066653543,0.6344
1999,0.07011811,0.07011811,0.07011811,0.07011811,0.4438
2000,0.070629921,0.070629921,0.070629921,0.070629921,0.4262
2001,0.072874016,0.072874016,0.072874016,0.072874016,0.5473
2002,0.073818898,0.073818898,0.073818898,0.073818898,0.6023
2003,0.077598425,0.077598425,0.077598425,0.077598425,0.6134
2004,0.077401575,0.077401575,0.077401575,0.077401575,0.5783
2005,0.077440945,0.077440945,0.077440945,0.077440945,0.6585
2006,0.079173228,0.079173228,0.079173228,0.079173228,0.6125
2007,0.07996063,0.07996063,0.07996063,0.07996063,0.61
2008,0.083503937,0.083503937,0.083503937,0.083503937,0.5419
2009,0.085866142,0.085866142,0.085866142,0.085866142,0.6367
2010,0.089015748,0.089015748,0.089015748,0.089015748,0.7014
2011,0.089645669,0.089645669,0.089645669,0.089645669,0.5788
2012,0.093267716,0.093267716,0.093267716,0.093267716,0.624
2013,0.08980315,0.08980315,0.08980315,0.08980315,0.6679
2014,0.225270884,0.216680797,0.21145659,0.207824372,0.7408
2015,0.229021778,0.219773944,0.214197311,0.21033867,0.8998
2016,0.232831741,0.222903695,0.216964258,0.212873164,0.9363
2017,0.236701702,0.226070485,0.219757683,0.215428015,0.581638444
2018,0.240632606,0.229274751,0.22257784,0.218003386,0.773012232
2019,0.244625413,0.232516938,0.225424983,0.220599444,0.744680738
2020,0.248681097,0.235797492,0.228299371,0.223216353,0.756928181
2021,0.252800649,0.23911687,0.231201266,0.225854281,0.850452764
2022,0.256985075,0.242475529,0.234130929,0.228513397,0.759440856
2023,0.261235395,0.245873936,0.237088627,0.231193872,1.003522462
2024,0.265552649,0.24931256,0.240074629,0.233895876,0.751541746
2025,0.269937889,0.252791877,0.243089204,0.236619583,1.016787951
2026,0.274392187,0.256312369,0.246132627,0.239365167,0.983932424
2027,0.27891663,0.259874523,0.249205173,0.242132804,1.110134552
2028,0.283512322,0.263478832,0.252307122,0.244922671,1.045194508
2029,0.288180386,0.267125796,0.255438753,0.247734946,1.071101853
2030,0.292921962,0.270815918,0.258600353,0.25056981,1.156530325
2031,0.297738206,0.27454971,0.261792207,0.253427444,0.935083864
2032,0.302630295,0.278327688,0.265014604,0.25630803,0.98212715
2033,0.307599423,0.282150375,0.268267838,0.259211753,1.073003894
2034,0.312646804,0.286018301,0.271552203,0.2621388,1.076951328
2035,0.317773669,0.289932001,0.274867996,0.265089356,1.20233196
2036,0.322981271,0.293892016,0.27821552,0.268063612,0.998932981
2037,0.328270881,0.297898894,0.281595077,0.271061757,0.976086923
2038,0.333643789,0.301953191,0.285006975,0.274083984,1.232784064
2039,0.339101309,0.306055467,0.288451521,0.277130486,1.121886901
2040,0.344644772,0.31020629,0.29192903,0.280201457,1.170211194
2041,0.350275532,0.314406235,0.295439816,0.283297094,1.227161218
2042,0.355994964,0.318655882,0.298984198,0.286417596,1.104809837
2043,0.361804463,0.322955821,0.302562497,0.289563162,1.214939178
2044,0.367705449,0.327306646,0.306175038,0.292733994,1.100321775
2045,0.373699362,0.331708959,0.309822148,0.295930293,1.205805817
2046,0.379787665,0.336163371,0.313504159,0.299152266,1.280263489
2047,0.385971845,0.340670496,0.317221404,0.302400118,1.184674516
2048,0.392253412,0.34523096,0.32097422,0.305674057,1.233179064
2049,0.398633899,0.349845393,0.324762949,0.308974293,1.410045171
2050,0.405114864,0.354514434,0.328587932,0.312301036,1.237455198
2051,0.41169789,0.359238729,0.332449519,0.3156545,1.315445401
2052,0.418384583,0.364018932,0.336348057,0.3190349,1.280691123
2053,0.425176576,0.368855706,0.340283903,0.322442451,1.200037789
2054,0.432075527,0.373749718,0.344257411,0.325877371,1.378548783
2055,0.439083121,0.378701647,0.348268943,0.329339882,1.199976361
2056,0.446201069,0.383712179,0.352318863,0.332830203,1.385593413
2057,0.453431108,0.388782005,0.356407538,0.336348559,1.42190287
2058,0.460775003,0.393911829,0.360535339,0.339895175,1.296249235
2059,0.468234548,0.399102361,0.364702639,0.343470278,1.451308753
2060,0.475811564,0.404354317,0.368909818,0.347074096,1.367170057
2061,0.483507901,0.409668427,0.373157257,0.35070686,1.535377
2062,0.491325437,0.415045425,0.377445341,0.354368803,1.501493785
2063,0.499266081,0.420486055,0.381774458,0.358060159,1.582242592
2064,0.507331773,0.42599107,0.386145003,0.361781164,1.456607388
2065,0.51552448,0.431561233,0.39055737,0.365532057,1.598976363
2066,0.523846204,0.437197314,0.395011961,0.369313077,1.525136878
2067,0.532298976,0.442900094,0.399509179,0.373124467,1.757908616
2068,0.54088486,0.448670361,0.404049432,0.37696647,1.537509587
2069,0.549605951,0.454508915,0.408633132,0.380839332,1.480376533
2070,0.55846438,0.460416563,0.413260695,0.384743301,1.728042158
2071,0.567462309,0.466394124,0.417932541,0.388678628,1.581381067
2072,0.576601935,0.472442424,0.422649093,0.392645563,1.664281975
2073,0.585885489,0.4785623,0.427410779,0.396644361,1.661759719
2074,0.595315237,0.484754601,0.432218032,0.400675278,1.650231833
2075,0.604893483,0.491020182,0.437071286,0.404738572,1.626436197
2076,0.614622564,0.497359911,0.441970982,0.408834502,1.73439438
2077,0.624504855,0.503774666,0.446917566,0.412963331,1.756938765
2078,0.63454277,0.510265334,0.451911484,0.417125323,1.705270941
2079,0.64473876,0.516832814,0.456953191,0.421320745,1.908115019
2080,0.655095312,0.523478014,0.462043144,0.425549865,1.743161589
2081,0.665614957,0.530201855,0.467181804,0.429812953,1.820757765
2082,0.676300262,0.537005267,0.472369637,0.434110283,1.752942451
2083,0.687153836,0.543889193,0.477607114,0.438442129,1.737738381
2084,0.698178329,0.550854583,0.482894711,0.442808769,1.825285121
2085,0.709376432,0.557902404,0.488232905,0.447210483,1.781368156
2086,0.72075088,0.565033629,0.493622183,0.451647551,1.981044243
2087,0.73230445,0.572249247,0.499063032,0.456120258,2.033073041
2088,0.744039961,0.579550256,0.504555947,0.46062889,1.689420608
2089,0.75596028,0.586937666,0.510101425,0.465173736,1.775655028
2090,0.768068317,0.5944125,0.515699969,0.469755087,1.99584
2091,0.780367028,0.601975793,0.521352088,0.474373235,1.869900043
2092,0.792859415,0.609628591,0.527058293,0.479028477,2.063618012
2093,0.805548529,0.617371954,0.532819102,0.48372111,2.046813963
2094,0.818437467,0.625206953,0.538635039,0.488451435,1.94354916
2095,0.831529376,0.633134673,0.54450663,0.493219754,1.789960835
2096,0.844827453,0.641156211,0.550434408,0.498026373,2.067047956
2097,0.858334944,0.649272677,0.556418911,0.502871599,1.985165709
2098,0.872055147,0.657485195,0.562460682,0.507755742,1.95823439
2099,0.885991412,0.665794902,0.568560268,0.512679115,2.074853834
2100,0.900147141,0.674202947,0.574718222,0.517642033,2.120265258
2101,0.914525791,0.682710494,0.580935105,0.522644813,1.989704207
2102,0.929130871,0.691318722,0.587211478,0.527687776,1.989039661
2103,0.943965948,0.70002882,0.593547912,0.532771245,1.938394176
2104,0.959034643,0.708841996,0.599944981,0.537895545,2.047366307
2105,0.974340636,0.717759468,0.606403266,0.543061003,2.075815113
2106,0.989887663,0.726782471,0.612923352,0.548267951,2.145122751
2107,1.00567952,0.735912254,0.61950583,0.553516721,2.036889787
2108,1.021720062,0.745150081,0.626151299,0.558807651,2.179415221
2109,1.038013207,0.75449723,0.63286036,0.564141077,2.301728041
